STEM,ORIGINAL,TRANSLATED,VALENCE,AROUSAL,DOMINANCE
имя прилагательн,adjective,имя прилагательное,0.570,0.316,0.569
прилега,adjoining,прилегающий,0.520,0.400,0.393
закрыва,adjourn,закрывать,0.385,0.456,0.475
отложен,adjournment,отложение,0.438,0.510,0.370
выносить приговор,adjudicate,выносить приговор,0.559,0.520,0.683
судебное решен,adjudication,судебное решение,0.551,0.462,0.691
адъюнкт,adjunct,адъюнкт,0.459,0.440,0.426
регулирова,adjust,регулировать,0.647,0.327,0.638
оценщик,adjuster,оценщик,0.510,0.540,0.760
регулировк,adjustment,регулировка,0.590,0.520,0.661
адъювант,adjuvant,адъювант,0.510,0.500,0.456
админ,admin,админ,0.688,0.420,0.854
управля,administer,управлять,0.635,0.425,0.860
администрац,administration,администрация,0.625,0.404,0.786
административн,administrative,административный,0.542,0.415,0.579
администратор,administrator,администратор,0.538,0.480,0.902
замечательн,admirable,замечательный,0.929,0.600,0.870
адмира,admiral,адмирал,0.844,0.490,0.847
адмиралтейств,admiralty,адмиралтейство,0.594,0.547,0.733
восхищен,admiration,восхищение,0.969,0.583,0.726
восхища,admire,восхищаться,0.867,0.692,0.704
почита,admired,почитаемый,0.917,0.560,0.815
обожател,admirer,обожатель,0.796,0.720,0.650
допустим,admissibility,допустимость,0.802,0.580,0.602
вход,admission,вход,0.802,0.415,0.732
впуск,admittance,впуск,0.690,0.451,0.598
допуска,admitting,допускающий,0.620,0.500,0.546
прим,admixture,примесь,0.450,0.375,0.438
замечан,admonition,замечание,0.357,0.606,0.455
суматох,ado,суматоха,0.520,0.423,0.385
сама,adobe,саман,0.500,0.319,0.328
подростковый возраст,adolescence,подростковый возраст,0.487,0.694,0.444
подросток,adolescent,подросток,0.781,0.680,0.509
приня,adopt,принять,0.694,0.612,0.701
усыновлен,adoptive,усыновленный,0.531,0.469,0.520
обожа,adorable,обожаемый,0.969,0.519,0.457
обожан,adoration,обожание,0.885,0.699,0.708
поклоня,adoring,поклоняющийся,0.885,0.620,0.717
украша,adorn,украшать,0.910,0.424,0.482
украшен,adornment,украшение,0.918,0.373,0.377
адреналин,adrenalin,адреналин,0.865,0.920,0.786
дрейфова,adrift,дрейфовать,0.398,0.486,0.230
для взросл,adult,для взрослых,0.815,0.491,0.787
фальсифицирова,adulterated,фальсифицированный,0.188,0.865,0.370
прелюбод,adulterer,прелюбодей,0.229,0.814,0.407
прелюбодеян,adultery,прелюбодеяние,0.120,0.922,0.510
совершеннолет,adulthood,совершеннолетие,0.541,0.454,0.652
продвижен,advance,продвижение,0.673,0.472,0.858
передов,advanced,передовой,0.844,0.623,0.797
опережен,advancing,опережения,0.929,0.608,0.812
преимуществ,advantage,преимущество,0.917,0.548,0.859
выгодн,advantageous,выгодный,0.837,0.640,0.789
приход,advent,приход,0.665,0.560,0.627
приключен,adventure,приключение,0.917,0.857,0.710
авантюрист,adventurer,авантюрист,0.781,0.839,0.868
предприимчив,adventurous,предприимчивый,0.969,0.898,0.722
состязательн,adversary,состязательный,0.349,0.777,0.457
неблагоприятн,adverse,неблагоприятный,0.323,0.610,0.385
напаст,adversity,напасти,0.276,0.760,0.538
рекламирова,advertise,рекламировать,0.500,0.529,0.580
реклам,advertisement,Реклама,0.600,0.566,0.539
совет,advice,совет,0.698,0.408,0.688
рекомендуем,advisable,рекомендуемый,0.867,0.480,0.510
консультирова,advise,консультировать,0.760,0.393,0.705
рекоменд,advised,рекомендуется,0.823,0.330,0.509
совещание суда перед вынесением решен,advisement,совещание суда перед вынесением решения,0.698,0.235,0.655
консультант,adviser,консультант,0.745,0.362,0.705
консультативн,advisory,консультативный,0.656,0.429,0.633
пропаганд,advocacy,пропаганда,0.500,0.646,0.731
адвокат,advocate,адвокат,0.551,0.530,0.818
эгид,aegis,эгида,0.490,0.439,0.462
аэрац,aeration,аэрация,0.550,0.500,0.433
антен,aerial,антенна,0.615,0.461,0.463
аэробик,aerobics,аэробика,0.708,0.771,0.627
аэродр,aerodrome,аэродром,0.541,0.740,0.678
аэродинамическ,aerodynamic,аэродинамический,0.561,0.724,0.728
аэродинамик,aerodynamics,аэродинамика,0.590,0.663,0.722
воздухоплаван,aeronautics,воздухоплавание,0.551,0.633,0.688
самолет,aeroplane,самолет,0.714,0.642,0.644
авиационно-космическ,aerospace,авиационно-космический,0.643,0.520,0.779
эстетическ,aesthetic,эстетический,0.708,0.442,0.526
эстетик,aesthetics,эстетика,0.847,0.327,0.549
этиолог,aetiology,этиология,0.480,0.398,0.615
издалек,afar,издалека,0.396,0.373,0.358
приветлив,affable,приветливый,0.704,0.380,0.452
дел,affair,дело,0.520,0.459,0.657
аффект,affect,аффект,0.458,0.569,0.578
затрагива,affecting,затрагивающий,0.350,0.574,0.394
привязан,affection,привязанность,0.898,0.559,0.696
любя,affectionate,любящий,0.949,0.422,0.550
аффидав,affidavit,аффидавит,0.469,0.584,0.526
аффилирова,affiliated,аффилированная,0.673,0.519,0.535
сродств,affinity,сродство,0.800,0.500,0.537
утвержда,affirm,утверждать,0.745,0.509,0.731
утвержден,affirmation,утверждение,0.750,0.500,0.689
утвердительн,affirmative,утвердительный,0.854,0.589,0.816
аффикс,affix,аффикс,0.438,0.335,0.411
тревож,afflict,тревожить,0.302,0.555,0.293
страда,afflicted,страдающий,0.271,0.500,0.167
недуг,affliction,недуг,0.294,0.635,0.392
напл,affluence,наплыв,0.663,0.618,0.722
полноводн,affluent,полноводный,0.756,0.388,0.477
позволить себ,afford,позволить себе,0.571,0.580,0.575
оскорблен,affront,оскорбление,0.327,0.740,0.547
в пол,afield,в поле,0.594,0.370,0.373
огон,afire,огонь,0.367,0.904,0.675
на плав,afloat,на плаву,0.602,0.427,0.444
выш,afore,выше,0.500,0.337,0.382
бо,afraid,боюсь,0.010,0.775,0.245
сызнов,afresh,сызнова,0.643,0.521,0.480
африканец,african,африканец,0.490,0.423,0.555
кормов,aft,кормовой,0.480,0.417,0.518
загробная жизн,afterlife,загробная жизнь,0.571,0.567,0.568
отав,aftermath,отава,0.312,0.449,0.444
после полудн,afternoon,после полудня,0.533,0.388,0.339
лосьон после брит,aftershave,лосьон после бритья,0.406,0.384,0.415
осадок,aftertaste,осадок,0.354,0.362,0.455
раздум,afterthought,раздумье,0.396,0.392,0.349
разинув рот,agape,разинув рот,0.612,0.529,0.464
агат,agate,агат,0.540,0.377,0.483
возраст,age,возраст,0.561,0.226,0.498
престарел,aged,престарелый,0.135,0.365,0.236
агентств,agency,агентство,0.460,0.296,0.583
повестка дн,agenda,повестка дня,0.531,0.296,0.553
агент,agent,агент,0.480,0.439,0.755
агломерац,agglomeration,агломерация,0.450,0.765,0.509
обостря,aggravate,обострять,0.224,0.770,0.464
усугублен,aggravated,усугубленный,0.079,0.760,0.430
усугубля,aggravates,усугубляет,0.108,0.778,0.357
ухудша,aggravating,ухудшающий,0.257,0.794,0.640
совокупн,aggregate,совокупный,0.730,0.378,0.556
агрегирован,aggregation,агрегирование,0.583,0.517,0.694
агресс,aggression,агрессия,0.094,0.929,0.533
агрессивн,aggressive,агрессивный,0.125,0.949,0.648
агрессор,aggressor,агрессор,0.146,0.948,0.823
аг,agh,аг,0.260,0.500,0.400
ошеломлен,aghast,ошеломленный,0.133,0.865,0.464
проворн,agile,проворный,0.800,0.657,0.775
проворств,agility,проворство,0.720,0.702,0.815
старен,aging,старение,0.214,0.255,0.284
агитирова,agitate,агитировать,0.300,0.796,0.593
взволнова,agitated,взволнованный,0.444,0.882,0.491
агитац,agitation,агитация,0.240,0.931,0.447
возбужден,aglow,возбужденный,0.780,0.510,0.797
агностик,agnostic,агностик,0.306,0.396,0.574
тому назад,ago,тому назад,0.317,0.280,0.404
мучительн,agonizing,мучительный,0.083,0.800,0.340
агон,agony,агония,0.083,0.775,0.393
агорафоб,agoraphobia,агорафобия,0.127,0.712,0.438
дать соглас,agree,дать согласие,0.906,0.260,0.545
приятн,agreeable,приятный,0.906,0.500,0.696
согласова,agreed,согласовано,0.797,0.449,0.574
соглаш,agreeing,соглашаясь,0.854,0.480,0.557
соглашен,agreement,соглашение,0.760,0.440,0.736
сельскохозяйствен,agricultural,сельскохозяйственное,0.686,0.321,0.473
сельское хозяйств,agriculture,сельское хозяйство,0.640,0.357,0.465
на мел,aground,на мели,0.333,0.340,0.445
вперед,ahead,впереди,0.708,0.520,0.673
ааа,ahhh,аааа,0.562,0.517,0.241
на палуб,ahoy,на палубе,0.500,0.497,0.380
помощ,aid,помощь,0.796,0.491,0.541
помощник,aide,помощник,0.724,0.342,0.434
пособничеств,aiding,пособничество,0.643,0.533,0.569
вспомогательные средств,aids,вспомогательные средства,0.561,0.480,0.500
ай,ail,Айыл,0.375,0.434,0.385
цел,aim,цель,0.481,0.569,0.567
бесцельн,aimless,бесцельный,0.150,0.267,0.183
воздух,air,воздух,0.708,0.163,0.427
воздушная подушк,airbag,воздушная подушка,0.510,0.402,0.433
бортов,airborne,бортовой,0.542,0.519,0.385
авианосец,aircraft carrier,авианосец,0.490,0.740,0.727
летное пол,airfield,летное поле,0.601,0.650,0.645
дурачок,airhead,дурачок,0.271,0.481,0.276
воздушные перевозк,airlift,воздушные перевозки,0.573,0.622,0.642
авиакомпан,airline,авиакомпания,0.650,0.482,0.688
пассажирский самолет,airliner,пассажирский самолет,0.667,0.777,0.647
воздушная пробк,airlock,воздушная пробка,0.398,0.520,0.447
авиатор,airman,авиатор,0.587,0.716,0.721
аэропорт,airport,аэропорт,0.729,0.684,0.682
ар,airs,арии,0.583,0.196,0.370
дирижабл,airship,дирижабль,0.542,0.472,0.529
воздушное пространств,airspace,воздушное пространство,0.562,0.510,0.640
воздушная скор,airspeed,воздушная скорость,0.583,0.780,0.544
взлетно-посадочная полос,airstrip,взлетно-посадочная полоса,0.550,0.690,0.649
воздухонепроница,airtight,воздухонепроницаемый,0.479,0.381,0.570
авиалин,airway,авиалиния,0.638,0.585,0.482
придел,aisle,придел,0.438,0.222,0.283
ак,aka,ака,0.459,0.358,0.351
похож,akin,похожий,0.639,0.343,0.523
алебастр,alabaster,алебастр,0.542,0.404,0.445
аварийная сигнализац,alarm,аварийная сигнализация,0.241,0.882,0.698
будильник,alarm clock,будильник,0.542,0.727,0.642
встревожен,alarmed,встревоженный,0.188,0.822,0.492
тревожн,alarming,тревожный,0.204,0.890,0.585
ув,alas,Увы,0.571,0.310,0.279
альбатрос,albatross,альбатрос,0.500,0.445,0.527
альбинос,albino,альбинос,0.500,0.240,0.358
альб,album,альбом,0.635,0.349,0.453
алхим,alchemy,алхимия,0.541,0.583,0.693
алкогол,alcohol,алкоголь,0.323,0.667,0.377
алкоголик,alcoholic,алкоголик,0.153,0.688,0.361
алкоголизм,alcoholism,алкоголизм,0.061,0.779,0.407
альк,alcove,альков,0.490,0.340,0.356
старейшин,alderman,старейшина,0.550,0.459,0.691
бдительн,alert,бдительный,0.479,0.820,0.648
насторожен,alertness,настороженность,0.375,0.875,0.750
оповещен,alerts,оповещения,0.337,0.804,0.673
люцерн,alfalfa,люцерна,0.546,0.250,0.311
алгебр,algebra,алгебра,0.440,0.340,0.565
алгебраическ,algebraic,алгебраическая,0.531,0.412,0.441
алгоритм,algorithm,алгоритм,0.448,0.394,0.559
псевдон,alias,псевдоним,0.541,0.353,0.333
алиб,alibi,алиби,0.396,0.528,0.556
инопланетянин,alien,инопланетянин,0.410,0.615,0.491
отчужда,alienate,отчуждать,0.247,0.500,0.523
отчужден,alienated,отчужденный,0.410,0.423,0.559
зажжен,alight,зажженный,0.667,0.657,0.605
выравнива,align,выравнивать,0.656,0.364,0.627
выровнен,aligned,выровненный,0.583,0.275,0.553
выравниван,alignment,выравнивание,0.643,0.412,0.683
подобн,alike,подобно,0.653,0.173,0.444
алимент,alimony,алименты,0.612,0.477,0.464
аликвот,aliquot,аликвоты,0.440,0.310,0.404
в жив,alive,в живых,0.816,0.637,0.731
щелоч,alkali,щелочь,0.490,0.350,0.408
алкалоид,alkaloids,алкалоиды,0.433,0.562,0.402
смягча,allay,смягчать,0.417,0.406,0.398
мним,alleged,мнимый,0.365,0.522,0.520
верност,allegiance,верность,0.917,0.398,0.750
аллегорическ,allegorical,аллегорический,0.517,0.558,0.598
аллегор,allegory,аллегория,0.615,0.580,0.509
аллегр,allegro,аллегро,0.635,0.627,0.453
аллергическ,allergic,аллергический,0.135,0.549,0.273
аллерг,allergy,аллергия,0.296,0.606,0.389
облегчен,alleviation,облегчение,0.735,0.200,0.491
алле,alley,аллея,0.347,0.500,0.355
переулок,alleyway,переулок,0.357,0.471,0.382
союз,alliance,союз,0.696,0.473,0.769
союзн,allied,союзный,0.714,0.245,0.642
аллигатор,alligator,аллигатор,0.354,0.704,0.645
выделя,allocate,выделять,0.673,0.462,0.672
распределен,allocation,распределение,0.604,0.388,0.679
отчисля,allot,отчислять,0.622,0.481,0.616
выделен,allotment,выделение,0.600,0.390,0.640
позволя,allow,позволять,0.698,0.429,0.538
пособ,allowance,пособие,0.673,0.382,0.591
позвол,allowed,позволил,0.730,0.360,0.655
сплав,alloy,сплав,0.583,0.443,0.593
завлека,allure,завлекать,0.804,0.585,0.686
заманчив,alluring,заманчивый,0.837,0.745,0.843
ссылк,allusion,ссылка,0.440,0.308,0.462
наносн,alluvial,наносной,0.323,0.490,0.491
союзник,ally,союзник,0.792,0.320,0.688
альман,almanac,альманах,0.688,0.190,0.412
всемогущ,almighty,всемогущий,0.938,0.874,0.958
миндальн,almond,миндальный,0.698,0.183,0.314
наверх,aloft,наверх,0.771,0.373,0.700
алох,aloha,алоха,0.698,0.440,0.441
в одиночеств,alone,в одиночестве,0.333,0.167,0.216
ряд,alongside,рядом,0.458,0.333,0.347
вслух,aloud,вслух,0.458,0.713,0.750
альф,alpha,альфа,0.708,0.340,0.755
алфав,alphabet,алфавит,0.562,0.204,0.672
буквен,alphabetical,буквенный,0.537,0.296,0.535
высокогорн,alpine,высокогорный,0.594,0.337,0.474
alreadyyyyy,alreadyyyyy,alreadyyyyy,0.592,0.717,0.351
алтар,altar,алтарь,0.724,0.387,0.635
алтарный мальчик,altar boy,алтарный мальчик,0.434,0.206,0.350
изменя,alter,изменять,0.333,0.694,0.654
внесение изменен,alteration,внесение изменений,0.167,0.798,0.609
перебранк,altercation,перебранка,0.170,0.806,0.500
измен,altered,изменено,0.255,0.765,0.500
чередова,alternate,чередовать,0.625,0.363,0.589
перемен,alternating,переменный,0.480,0.494,0.542
альтернатив,alternative,альтернатива,0.628,0.373,0.631
высотомер,altimeter,высотомер,0.615,0.510,0.580
высота над уровнем мор,altitude,высота над уровнем моря,0.708,0.482,0.736
альт,alto,альт,0.656,0.404,0.730
в цел,altogether,в целом,0.833,0.324,0.644
алюмин,aluminum,алюминий,0.449,0.280,0.434
выпускник,alumnus,выпускник,0.633,0.368,0.422
альвеолярн,alveolar,альвеолярный,0.469,0.481,0.367
амальгам,amalgam,амальгама,0.438,0.333,0.510
укрупнен,amalgamation,укрупнение,0.406,0.470,0.531
амаретт,amaretto,амаретто,0.543,0.551,0.375
коп,amass,копить,0.552,0.465,0.465
любител,amateur,любитель,0.469,0.500,0.409
поража,amaze,поражать,0.896,0.843,0.783
поражен,amazed,пораженный,0.796,0.779,0.533
изумлен,amazement,изумление,0.750,0.800,0.639
удивительн,amazing,удивительно,0.906,0.837,0.849
посол,ambassador,посол,0.651,0.529,0.917
янтарн,amber,янтарный,0.635,0.308,0.369
атмосфер,ambience,атмосфера,0.735,0.356,0.426
окружа,ambient,окружающий,0.625,0.360,0.582
неоднозначн,ambiguity,неоднозначность,0.164,0.460,0.370
двусмыслен,ambiguous,двусмысленный,0.265,0.462,0.358
сфер,ambit,сфера,0.479,0.380,0.386
амбиц,ambition,амбиция,0.510,0.804,0.661
амбициозн,ambitious,амбициозный,0.484,0.821,0.717
амбивалентн,ambivalent,амбивалентный,0.510,0.404,0.482
амброз,ambrosia,амброзия,0.571,0.452,0.480
скорая помощ,ambulance,скорая помощь,0.500,0.750,0.609
засад,ambush,засада,0.281,0.830,0.500
улучша,ameliorate,улучшать,0.770,0.548,0.747
амин,amen,аминь,0.781,0.182,0.542
подда,amenable,поддающийся,0.448,0.410,0.406
поправк,amendment,поправка,0.531,0.459,0.606
возмещен,amends,возмещение,0.640,0.366,0.517
удобств,amenity,удобства,0.750,0.327,0.574
аметист,amethyst,аметист,0.622,0.406,0.517
любезн,amiable,любезный,0.847,0.290,0.483
дружн,amicable,дружный,0.875,0.330,0.507
сред,amid,среди,0.510,0.340,0.256
амино-,amino,амино-,0.551,0.402,0.433
боеприпас,ammo,боеприпасы,0.323,0.765,0.621
аммиак,ammonia,аммиак,0.292,0.587,0.409
аммон,ammonium,аммоний,0.354,0.396,0.368
амнез,amnesia,амнезия,0.296,0.330,0.308
амнистирова,amnesty,амнистировать,0.551,0.451,0.814
влюбчив,amorous,влюбчивый,0.844,0.670,0.636
аморфн,amorphous,аморфный,0.327,0.402,0.349
амортизац,amortization,амортизация,0.592,0.491,0.522
количеств,amount,количество,0.562,0.422,0.649
ампер,amp,ампер,0.439,0.393,0.375
амперсант,ampersand,амперсант,0.480,0.448,0.483
амфетамин,amphetamines,амфетамины,0.133,0.667,0.526
амфиб,amphibian,амфибия,0.427,0.357,0.474
